time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,total_spent_time,objectives
00:00 ~ 00:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,94,0.9690721649484536,97,1,51636
00:00 ~ 00:59,0,1,6,서울 양천구 신정동,1,서울 강서구 화곡동,1966,1710,0.8744546776539021,2063,23,51636
00:00 ~ 00:59,0,2,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1036,0.9111324991979467,3117,34,51636
00:00 ~ 00:59,0,3,7,서울 구로구 구로동,9,서울 양천구 목동_1,2349,2375,0.9540797658251006,5466,60,51636
00:00 ~ 00:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1421,0.9656577415599534,6872,75,51636
01:00 ~ 01:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1421,1.0106685633001422,1406,15,51770
01:00 ~ 01:59,0,1,9,서울 양천구 목동_1,1,서울 강서구 화곡동,3403,3258,0.9729673528800167,4809,53,51770
01:00 ~ 01:59,0,2,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1065,0.9797032236056626,5863,64,51770
01:00 ~ 01:59,0,3,7,서울 구로구 구로동,6,서울 양천구 신정동,950,928,0.979304271246147,6813,74,51770
01:00 ~ 01:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,98,0.9797395079594791,6910,75,51770
02:00 ~ 02:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1421,1.0106685633001422,1406,15,51827
02:00 ~ 02:59,0,1,9,서울 양천구 목동_1,1,서울 강서구 화곡동,3403,3320,0.9858598461218548,4809,53,51827
02:00 ~ 02:59,0,2,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1065,0.9902780146682586,5863,64,51827
02:00 ~ 02:59,0,3,7,서울 구로구 구로동,6,서울 양천구 신정동,950,923,0.9876706296785557,6813,74,51827
02:00 ~ 02:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,98,0.9879884225759769,6910,75,51827
03:00 ~ 03:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1421,1.0106685633001422,1406,15,51779
03:00 ~ 03:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2375,1.010918774966711,3755,41,51779
03:00 ~ 03:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1022,1.0018714909544604,4809,52,51779
03:00 ~ 03:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1863,0.9861254612546125,6775,74,51779
03:00 ~ 03:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,98,0.9864668218859138,6872,75,51779
04:00 ~ 04:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1421,1.0106685633001422,1406,15,51778
04:00 ~ 04:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2310,0.9936085219707057,3755,41,51778
04:00 ~ 04:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1036,0.9912663755458515,4809,52,51778
04:00 ~ 04:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1913,0.9859778597785978,6775,74,51778
04:00 ~ 04:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,98,0.9863213038416764,6872,75,51778
05:00 ~ 05:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1421,1.0106685633001422,1406,15,51733
05:00 ~ 05:59,0,1,9,서울 양천구 목동_1,1,서울 강서구 화곡동,3403,3258,0.9729673528800167,4809,53,51733
05:00 ~ 05:59,0,2,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1033,0.9742452669281938,5863,64,51733
05:00 ~ 05:59,0,3,7,서울 구로구 구로동,6,서울 양천구 신정동,950,923,0.973873477175987,6813,74,51733
