time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.9587628865979382,97,59061
00:00 ~ 00:59,0,1,6,서울 양천구 신정동,1,서울 강서구 화곡동,1966,1688,0.8633058652447891,2063,59061
00:00 ~ 00:59,0,2,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1025,0.9002245749117741,3117,59061
00:00 ~ 00:59,0,3,7,서울 구로구 구로동,9,서울 양천구 목동_1,2349,2349,0.9431028174167582,5466,59061
00:00 ~ 00:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.9547438882421421,6872,59061
01:00 ~ 01:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59195
01:00 ~ 01:59,0,1,9,서울 양천구 목동_1,1,서울 강서구 화곡동,3403,3220,0.9619463505926388,4809,59195
01:00 ~ 01:59,0,2,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1054,0.9687873102507248,5863,59195
01:00 ~ 01:59,0,3,7,서울 구로구 구로동,6,서울 양천구 신정동,950,918,0.968442683105827,6813,59195
01:00 ~ 01:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9688856729377714,6910,59195
02:00 ~ 02:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59252
02:00 ~ 02:59,0,1,9,서울 양천구 목동_1,1,서울 강서구 화곡동,3403,3282,0.974838843834477,4809,59252
02:00 ~ 02:59,0,2,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1054,0.9793621013133208,5863,59252
02:00 ~ 02:59,0,3,7,서울 구로구 구로동,6,서울 양천구 신정동,950,913,0.9768090415382358,6813,59252
02:00 ~ 02:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9771345875542692,6910,59252
03:00 ~ 03:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59204
03:00 ~ 03:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2349,1.0,3755,59204
03:00 ~ 03:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1011,0.991058432106467,4809,59204
03:00 ~ 03:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1841,0.9752029520295203,6775,59204
03:00 ~ 03:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9755529685681025,6872,59204
04:00 ~ 04:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59203
04:00 ~ 04:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2284,0.9826897470039947,3755,59203
04:00 ~ 04:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1025,0.9804533166978582,4809,59203
04:00 ~ 04:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1891,0.9750553505535056,6775,59203
04:00 ~ 04:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9754074505238649,6872,59203
05:00 ~ 05:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59158
05:00 ~ 05:59,0,1,9,서울 양천구 목동_1,1,서울 강서구 화곡동,3403,3220,0.9619463505926388,4809,59158
05:00 ~ 05:59,0,2,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1022,0.963329353573256,5863,59158
05:00 ~ 05:59,0,3,7,서울 구로구 구로동,6,서울 양천구 신정동,950,913,0.9630118890356671,6813,59158
05:00 ~ 05:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9635311143270622,6910,59158
06:00 ~ 06:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59181
06:00 ~ 06:59,0,1,9,서울 양천구 목동_1,1,서울 강서구 화곡동,3403,3238,0.9656893325015595,4809,59181
06:00 ~ 06:59,0,2,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1019,0.9658877707658196,5863,59181
06:00 ~ 06:59,0,3,7,서울 구로구 구로동,6,서울 양천구 신정동,950,921,0.966387788052253,6813,59181
06:00 ~ 06:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9668596237337193,6910,59181
07:00 ~ 07:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59166
07:00 ~ 07:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2241,0.9712383488681757,3755,59166
07:00 ~ 07:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1011,0.9686005406529424,4809,59166
07:00 ~ 07:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1911,0.9695940959409594,6775,59166
07:00 ~ 07:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.970023282887078,6872,59166
08:00 ~ 08:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59172
08:00 ~ 08:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2265,0.97762982689747,3755,59172
08:00 ~ 08:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1019,0.975254730713246,4809,59172
08:00 ~ 08:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1885,0.9704797047970479,6775,59172
08:00 ~ 08:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9708963911525029,6872,59172
09:00 ~ 09:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59183
09:00 ~ 09:59,0,1,9,서울 양천구 목동_1,1,서울 강서구 화곡동,3403,3238,0.9656893325015595,4809,59183
09:00 ~ 09:59,0,2,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1019,0.9658877707658196,5863,59183
09:00 ~ 09:59,0,3,7,서울 구로구 구로동,6,서울 양천구 신정동,950,923,0.9666813444884779,6813,59183
09:00 ~ 09:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9671490593342981,6910,59183
10:00 ~ 10:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59095
10:00 ~ 10:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2271,0.9792276964047936,3755,59095
10:00 ~ 10:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1019,0.976502391349553,4809,59095
10:00 ~ 10:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1802,0.9591143911439114,6775,59095
10:00 ~ 10:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9596915017462165,6872,59095
11:00 ~ 11:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,56427
11:00 ~ 11:59,0,1,9,서울 양천구 목동_1,8,서울 강서구 등촌동,5290,3949,0.7997311827956989,6696,56427
11:00 ~ 11:59,0,2,8,서울 강서구 등촌동,15,Depot_Gimpo_Airport,3199,959,0.638100050530571,9895,56427
11:00 ~ 11:59,0,3,15,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,2332,0.6326650080491731,13666,56427
11:00 ~ 11:59,0,4,2,서울 양천구 목동,1,서울 강서구 화곡동,3929,3820,0.7084967320261438,17595,56427
11:00 ~ 11:59,0,5,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1013,0.7227733390530323,18649,56427
11:00 ~ 11:59,0,6,7,서울 구로구 구로동,6,서울 양천구 신정동,950,851,0.7311597530486249,19599,56427
11:00 ~ 11:59,0,7,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.7324837530463039,19696,56427
12:00 ~ 12:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59217
12:00 ~ 12:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2284,0.9826897470039947,3755,59217
12:00 ~ 12:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1019,0.9792056560615513,4809,59217
12:00 ~ 12:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1911,0.9771217712177122,6775,59217
12:00 ~ 12:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9774447031431898,6872,59217
13:00 ~ 13:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59105
13:00 ~ 13:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2284,0.9826897470039947,3755,59105
13:00 ~ 13:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1016,0.9785818257433978,4809,59105
13:00 ~ 13:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1802,0.9605904059040591,6775,59105
13:00 ~ 13:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9611466821885913,6872,59105
14:00 ~ 14:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59000
14:00 ~ 14:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2259,0.9760319573901465,3755,59000
14:00 ~ 14:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1025,0.975254730713246,4809,59000
14:00 ~ 14:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1713,0.9450922509225093,6775,59000
14:00 ~ 14:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9458672875436555,6872,59000
15:00 ~ 15:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,58986
15:00 ~ 15:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2265,0.97762982689747,3755,58986
15:00 ~ 15:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1025,0.976502391349553,4809,58986
15:00 ~ 15:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1693,0.9430258302583026,6775,58986
15:00 ~ 15:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9438300349243306,6872,58986
16:00 ~ 16:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59207
16:00 ~ 16:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2271,0.9792276964047936,3755,59207
16:00 ~ 16:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1022,0.9771262216677064,4809,59207
16:00 ~ 16:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1911,0.9756457564575646,6775,59207
16:00 ~ 16:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9759895227008148,6872,59207
17:00 ~ 17:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59019
17:00 ~ 17:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2235,0.9696404793608522,3755,59019
17:00 ~ 17:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1011,0.9673528800166354,4809,59019
17:00 ~ 17:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1770,0.9478966789667896,6775,59019
17:00 ~ 17:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9486321303841676,6872,59019
18:00 ~ 18:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59098
18:00 ~ 18:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2271,0.9792276964047936,3755,59098
18:00 ~ 18:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1022,0.9771262216677064,4809,59098
18:00 ~ 18:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1802,0.9595571955719557,6775,59098
18:00 ~ 18:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.960128055878929,6872,59098
19:00 ~ 19:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59073
19:00 ~ 19:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2278,0.9810918774966711,3755,59073
19:00 ~ 19:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,994,0.9727594094406321,4809,59073
19:00 ~ 19:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1798,0.9558671586715867,6775,59073
19:00 ~ 19:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9564901047729919,6872,59073
20:00 ~ 20:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,57226
20:00 ~ 20:59,0,1,9,서울 양천구 목동_1,8,서울 강서구 등촌동,5290,4293,0.85110513739546,6696,57226
20:00 ~ 20:59,0,2,8,서울 강서구 등촌동,15,Depot_Gimpo_Airport,3199,959,0.6728650833754422,9895,57226
20:00 ~ 20:59,0,3,15,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,2888,0.6985218791160545,13666,57226
20:00 ~ 20:59,0,4,2,서울 양천구 목동,1,서울 강서구 화곡동,3929,3718,0.7538505257175334,17595,57226
20:00 ~ 20:59,0,5,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1025,0.7662073033406617,18649,57226
20:00 ~ 20:59,0,6,7,서울 구로구 구로동,6,서울 양천구 신정동,950,840,0.7719271391397521,19599,57226
20:00 ~ 20:59,0,7,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.7730503655564581,19696,57226
21:00 ~ 21:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59008
21:00 ~ 21:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2253,0.9744340878828229,3755,59008
21:00 ~ 21:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1022,0.9733832397587856,4809,59008
21:00 ~ 21:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1730,0.9462730627306273,6775,59008
21:00 ~ 21:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9470314318975553,6872,59008
22:00 ~ 22:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,59131
22:00 ~ 22:59,0,1,9,서울 양천구 목동_1,7,서울 구로구 구로동,2349,2284,0.9826897470039947,3755,59131
22:00 ~ 22:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1013,0.9779579954252443,4809,59131
22:00 ~ 22:59,0,3,1,서울 강서구 화곡동,6,서울 양천구 신정동,1966,1831,0.9644280442804428,6775,59131
22:00 ~ 22:59,0,4,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.964930151338766,6872,59131
