time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
01:00 ~ 01:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
02:00 ~ 02:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
03:00 ~ 03:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
04:00 ~ 04:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,2941,0.9193497968115036,3199,75752
04:00 ~ 04:59,0,1,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,3680,0.8348253688059514,7931,75752
04:00 ~ 04:59,0,2,2,서울 양천구 목동,15,Depot_Gimpo_Airport,3771,1131,0.6624508631003247,11702,75752
05:00 ~ 05:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
06:00 ~ 06:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
07:00 ~ 07:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3060,0.9565489215379807,3199,75320
07:00 ~ 07:59,0,1,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,3129,0.7803555667633337,7931,75320
07:00 ~ 07:59,0,2,2,서울 양천구 목동,15,Depot_Gimpo_Airport,3771,1131,0.6255340967356008,11702,75320
08:00 ~ 08:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
09:00 ~ 09:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,2775,0.8674585808065021,3199,75734
09:00 ~ 09:59,0,1,8,서울 강서구 등촌동,15,Depot_Gimpo_Airport,3199,959,0.583619881212879,6398,75734
10:00 ~ 10:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,2608,0.8152547671147233,3199,75567
10:00 ~ 10:59,0,1,8,서울 강서구 등촌동,15,Depot_Gimpo_Airport,3199,959,0.5575179743669897,6398,75567
11:00 ~ 11:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,2388,0.7464832760237574,3199,74445
11:00 ~ 11:59,0,1,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,2926,0.6700290001260875,7931,74445
11:00 ~ 11:59,0,2,2,서울 양천구 목동,15,Depot_Gimpo_Airport,3771,1131,0.5507605537514955,11702,74445
12:00 ~ 12:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
13:00 ~ 13:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
14:00 ~ 14:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
15:00 ~ 15:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
16:00 ~ 16:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
17:00 ~ 17:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,2979,0.9312285089090341,3199,75938
17:00 ~ 17:59,0,1,8,서울 강서구 등촌동,15,Depot_Gimpo_Airport,3199,959,0.6155048452641451,6398,75938
18:00 ~ 18:59,0,0,15,Depot_Gimpo_Airport,15,Depot_Gimpo_Airport,0,0,0.0,0,76000
19:00 ~ 19:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,2670,0.8346358236949046,3199,75629
19:00 ~ 19:59,0,1,8,서울 강서구 등촌동,15,Depot_Gimpo_Airport,3199,959,0.5672085026570803,6398,75629
20:00 ~ 20:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,2596,0.811503594873398,3199,75351
20:00 ~ 20:59,0,1,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,3624,0.7842642794099105,7931,75351
20:00 ~ 20:59,0,2,2,서울 양천구 목동,15,Depot_Gimpo_Airport,3771,1131,0.6281832165441805,11702,75351
21:00 ~ 21:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,2816,0.8802750859643639,3199,75775
21:00 ~ 21:59,0,1,8,서울 강서구 등촌동,15,Depot_Gimpo_Airport,3199,959,0.59002813379181,6398,75775
22:00 ~ 22:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,2995,0.936230071897468,3199,75954
22:00 ~ 22:59,0,1,8,서울 강서구 등촌동,15,Depot_Gimpo_Airport,3199,959,0.618005626758362,6398,75954
23:00 ~ 23:59,0,0,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3035,0.9487339793685526,3199,75994
23:00 ~ 23:59,0,1,8,서울 강서구 등촌동,15,Depot_Gimpo_Airport,3199,959,0.6242575804939043,6398,75994
