time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1517,0.9724358974358974,1560,66077
00:00 ~ 00:59,0,1,5,경기 안양시 동안구 평촌동,16,Depot_Beom_Gye,1560,1560,0.9862179487179488,3120,66077
01:00 ~ 01:59,0,0,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1512,0.9692307692307692,1560,66072
01:00 ~ 01:59,0,1,5,경기 안양시 동안구 평촌동,16,Depot_Beom_Gye,1560,1560,0.9846153846153847,3120,66072
02:00 ~ 02:59,0,0,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1437,0.9211538461538461,1560,65997
02:00 ~ 02:59,0,1,5,경기 안양시 동안구 평촌동,16,Depot_Beom_Gye,1560,1560,0.9605769230769231,3120,65997
03:00 ~ 03:59,0,0,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1415,0.907051282051282,1560,65975
03:00 ~ 03:59,0,1,5,경기 안양시 동안구 평촌동,16,Depot_Beom_Gye,1560,1560,0.9535256410256411,3120,65975
04:00 ~ 04:59,0,0,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1397,0.8955128205128206,1560,65957
04:00 ~ 04:59,0,1,5,경기 안양시 동안구 평촌동,16,Depot_Beom_Gye,1560,1560,0.9477564102564102,3120,65957
05:00 ~ 05:59,0,0,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1340,0.8589743589743589,1560,65900
05:00 ~ 05:59,0,1,5,경기 안양시 동안구 평촌동,16,Depot_Beom_Gye,1560,1560,0.9294871794871795,3120,65900
06:00 ~ 06:59,0,0,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1257,0.8057692307692308,1560,65817
06:00 ~ 06:59,0,1,5,경기 안양시 동안구 평촌동,16,Depot_Beom_Gye,1560,1560,0.9028846153846154,3120,65817
07:00 ~ 07:59,0,0,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1492,0.9564102564102565,1560,66052
07:00 ~ 07:59,0,1,5,경기 안양시 동안구 평촌동,16,Depot_Beom_Gye,1560,1560,0.9782051282051282,3120,66052
08:00 ~ 08:59,0,0,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1508,0.9666666666666667,1560,66068
08:00 ~ 08:59,0,1,5,경기 안양시 동안구 평촌동,16,Depot_Beom_Gye,1560,1560,0.9833333333333333,3120,66068
