time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives
00:00 ~ 00:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5429,64929
01:00 ~ 01:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5463,64963
02:00 ~ 02:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5450,64950
03:00 ~ 03:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5445,64945
04:00 ~ 04:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5460,64960
05:00 ~ 05:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5397,64897
06:00 ~ 06:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5479,64979
07:00 ~ 07:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5486,64986
08:00 ~ 08:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5476,64976
09:00 ~ 09:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5206,64706
10:00 ~ 10:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5251,64751
11:00 ~ 11:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5196,64696
12:00 ~ 12:59,0,14,14,14 -> 10 -> 0 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 야탑동 -> 경기 성남시 분당구 서현동 -> Depot_Bundang_Townhall,5595,5366,64866
13:00 ~ 13:59,0,14,14,14 -> 10 -> 0 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 야탑동 -> 경기 성남시 분당구 서현동 -> Depot_Bundang_Townhall,5595,5295,64795
14:00 ~ 14:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5230,64730
15:00 ~ 15:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5359,64859
16:00 ~ 16:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5362,64862
17:00 ~ 17:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5452,64952
18:00 ~ 18:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5452,64952
19:00 ~ 19:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5427,64927
20:00 ~ 20:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5374,64874
21:00 ~ 21:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5419,64919
22:00 ~ 22:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5460,64960
23:00 ~ 23:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5341,64841
