time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,14,Depot_Bundang_Townhall,15,Depot_Gimpo_Airport,32971,9891,0.29999090109490156,32971,92251
00:00 ~ 00:59,0,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3085,0.3587503455902682,36170,92251
00:00 ~ 00:59,0,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4407,0.4249914429612244,40902,92251
00:00 ~ 00:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.47382433218488523,44698,92251
00:00 ~ 00:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.4898707270518827,46104,92251
00:00 ~ 00:59,0,5,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.4908551762948854,46201,92251
00:00 ~ 00:59,0,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,923,0.5005408156772921,47151,92251
00:00 ~ 00:59,0,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,905,0.508370500985375,48205,92251
00:00 ~ 00:59,0,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.5403964005895586,51564,92251
00:00 ~ 00:59,0,9,18,Depot_Gwang_Myeong,16,Depot_Beom_Gye,11482,11482,0.6240998635916633,63046,92251
00:00 ~ 00:59,0,10,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1517,0.6325109122991672,64606,92251
00:00 ~ 00:59,0,11,5,경기 안양시 동안구 평촌동,0,경기 성남시 분당구 서현동,12912,12556,0.689130266518744,77518,92251
00:00 ~ 00:59,0,12,0,경기 성남시 분당구 서현동,10,경기 성남시 분당구 야탑동,1240,1148,0.6928565986947358,78758,92251
00:00 ~ 00:59,0,13,10,경기 성남시 분당구 야탑동,14,Depot_Bundang_Townhall,1683,1683,0.6992827040936835,80441,92251
01:00 ~ 01:59,0,0,14,Depot_Bundang_Townhall,15,Depot_Gimpo_Airport,32971,9891,0.29999090109490156,32971,92229
01:00 ~ 01:59,0,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3077,0.35852916781863425,36170,92229
