time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives
00:00 ~ 00:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,92033
00:00 ~ 00:59,1,19,19,19 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 19,Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,32033,92033
01:00 ~ 01:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,92009
01:00 ~ 01:59,1,19,19,19 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 19,Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,32009,92009
02:00 ~ 02:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,92042
02:00 ~ 02:59,1,19,19,19 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 19,Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,32042,92042
03:00 ~ 03:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,91899
03:00 ~ 03:59,1,19,19,19 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 19,Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,31899,91899
04:00 ~ 04:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,90970
04:00 ~ 04:59,1,19,19,19 -> 15 -> 8 -> 3 -> 13 -> 12 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 19,Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,110454,48970,90970
