time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,82033
00:00 ~ 00:59,0,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3085,0.3565930700189096,37547,82033
00:00 ~ 00:59,0,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4407,0.4209181863336408,42279,82033
00:00 ~ 00:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.46862723819858926,46075,82033
00:00 ~ 00:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.48436216591899917,47481,82033
00:00 ~ 00:59,0,5,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.4853293539030644,47578,82033
00:00 ~ 00:59,0,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,923,0.49484833498186614,48528,82033
00:00 ~ 00:59,0,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,905,0.5025815820257351,49582,82033
00:00 ~ 00:59,0,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.5341417804726015,52941,82033
00:00 ~ 00:59,0,9,18,Depot_Gwang_Myeong,19,Depot_Incheon_Airport,37550,3755,0.3539910046302947,90491,82033
01:00 ~ 01:59,0,0,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,82009
01:00 ~ 01:59,0,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3077,0.3563800037286601,37547,82009
01:00 ~ 01:59,0,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4272,0.417535892523475,42279,82009
01:00 ~ 01:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.4655236028214867,46075,82009
01:00 ~ 01:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.4813504349108064,47481,82009
