time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,total_real_distance,objectives
00:00 ~ 00:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,27808,37550,73308
01:00 ~ 01:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,27842,37550,73342
02:00 ~ 02:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,84000
03:00 ~ 03:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,84000
04:00 ~ 04:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,27319,37550,72819
05:00 ~ 05:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,27391,37550,72891
06:00 ~ 06:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,84000
07:00 ~ 07:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,26384,37550,71884
08:00 ~ 08:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,84000
09:00 ~ 09:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,27074,37550,72574
